source,year,lat,lon,num_visits,mean_count,median_count,presence
Watson_Dive_Vanls,2010,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2010,50.0715,-127.5507,1,0,0,0
cote,2011,49.316,-122.923,1,NA,NA,1
cote,2011,49.349,-122.893,1,NA,NA,1
cote,2011,49.429,-122.865,1,30,30,1
Lee_Dive_BC,2011,48.8556333,-125.1833667,1,10,10,1
Lee_Dive_BC,2011,48.86805,-125.2896833,1,14,14,1
Lee_Dive_BC,2011,48.8785,-125.3531,1,12,12,1
Lee_Dive_BC,2011,48.8834167,-125.15475,1,34,34,1
Lee_Dive_BC,2011,48.9073,-125.37595,1,6,6,1
Lee_Dive_BC,2011,48.9217333,-125.3648167,1,15,15,1
Lee_Dive_BC,2011,49.1471333,-125.9700833,1,57,57,1
Lee_Dive_BC,2011,49.1476167,-125.9511,1,74,74,1
Lee_Dive_BC,2011,49.1899167,-126.0659667,1,51,51,1
Lee_Dive_BC,2011,49.2083833,-126.04185,1,59,59,1
Lee_Dive_BC,2011,49.2189667,-126.0976167,1,58,58,1
Lee_Dive_BC,2011,49.2303167,-126.0532333,1,17,17,1
Lee_Dive_BC,2011,49.97305,-127.32195,1,18,18,1
Lee_Dive_BC,2011,49.9969167,-127.39635,1,8,8,1
Lee_Dive_BC,2011,49.9996667,-127.3784167,1,8,8,1
Lee_Dive_BC,2011,50.0301667,-127.4337667,1,19,19,1
Lee_Dive_BC,2011,50.06015,-127.4819,1,7,7,1
Lee_Dive_BC,2011,50.0731667,-127.5516167,1,9,9,1
Lee_Dive_BC,2011,51.4153,-127.9107667,1,17,17,1
Lee_Dive_BC,2011,51.44355,-127.9657167,1,29,29,1
Lee_Dive_BC,2011,51.6026333,-127.8644,1,16,16,1
Lee_Dive_BC,2011,51.6926833,-128.1171167,1,11,11,1
Lee_Dive_BC,2011,51.7321667,-127.9963333,1,3,3,1
Lee_Dive_BC,2011,51.7331,-127.8884333,1,7,7,1
Lee_Dive_BC,2011,51.7448167,-128.0684,1,7,7,1
Lee_Dive_BC,2011,51.8986667,-128.4353333,1,3,3,1
Lee_Dive_BC,2011,51.9278333,-128.2905,1,3,3,1
Lee_Dive_BC,2011,51.9607333,-128.2615333,1,7,7,1
Lee_Dive_BC,2011,52.01725,-128.2716167,1,11,11,1
Lee_Dive_BC,2011,52.0247,-128.3015833,1,6,6,1
Lee_Dive_BC,2011,52.0446,-128.4006167,1,21,21,1
Lee_Dive_BC,2011,52.07175,-128.4062833,1,18,18,1
Lee_Dive_BC,2011,52.11175,-128.43355,1,20,20,1
Lee_Dive_BC,2011,52.1920667,-128.48735,1,10,10,1
Lee_Dive_BC,2011,52.4498,-131.3169667,1,9,9,1
Lee_Dive_BC,2011,52.5743,-131.5498333,1,1,1,1
Lee_Dive_BC,2011,52.57795,-131.46505,1,3,3,1
Lee_Dive_BC,2011,52.5813333,-131.5615333,1,7,7,1
Lee_Dive_BC,2011,52.9042667,-131.6248,1,12,12,1
Salomon_Dive_HaidaGwaii,2011,52.09867,-131.1257,1,4,4,1
Salomon_Dive_HaidaGwaii,2011,52.1442,-131.0467,1,4,4,1
Salomon_Dive_HaidaGwaii,2011,52.17992,-131.0128,2,2.5,2.5,1
